# This Arabidopsis expression dataset was taken from the functional genomics expression project, 
# Low temperature regulatory circuits and gene regulons in higher plants (Michael Tomashow's group),
# http://arabidopsis.org/info/expression/index.html

# Columns of this dataset are:
# Arabidopsis locus id	time_point_1	time_point_2	time_point_3	time_point_4	# time_point_5	time_point_6	
#
At1g77760	1.15	2.3	3.2	2.15	1.53	1.75
At2g13360	0.7	-0.53	0	-0.73	0.03	-0.72
At3g10230	-1.1	-0.05	1.05	1.15	1.25	0.05
At3g10230	-0.65	-0.58	1.13	1.23	0.67	-0.12
At3g01120	-1.08	-0.15	-1.2	-1.15	-1.15	-0.58
At3g01500	0.07	-0.72	-0.68	-1.4	-1.93	-9.23
At3g02470	0.03	-0.53	0.58	1.28	0.55	1.4
At3g02470	0.55	-0.12	0.62	0.65	-0.05	1.22
At3g02580	0.6	-0.55	0.08	0.55	-2.2	-1.65
At3g02580	1.15	0.7	0.03	-0.6	-2.4	-1.65
At3g02780	-1.15	0.05	0.1	-0.08	-0.57	-0.28
At3g04120	-0.15	-1.55	0.12	-0.3	0.23	1.77
At3g04120	-0.15	-1.5	0.05	-0.32	0.25	1.7
At3g04120	-0.07	-0.85	0.1	-0.75	0.2	1.55
At3g04870	1.05	-1.08	-0.05	-1.1	0.05	-1.33
At3g04940	-0.85	-0.1	-0.85	-1.3	-1.83	-1.3
At3g07420	-0.68	-0.12	-0.7	-0.1	0	-0.1
At3g10850	-0.6	-0.78	-0.65	-0.72	-2.08	-1.67
At3g13790	-0.2	1.8	1.65	1.75	1.77	2.05
At3g13790	1.1	1.75	1.95	1.95	1.85	2.32
At3g14415	0.25	-0.53	-0.55	-1.1	-1.2	-1.22
At3g17240	-0.72	-0.6	-1.08	-0.6	1.3	1.47
At3g19820	0.65	0.1	0.03	-0.58	-1.77	-1.38
At3g21110	1.38	0.3	1.23	0.07	0.25	-0.05
At3g21240	1.23	2.12	0.1	-0.03	-1.8	0.88
At3g21720	0.1	0	0.57	-0.75	-1.8	-1.95
At3g22460	-1.2	0.5	-2.93	-3.2	-3.25	-0.85
At3g25860	-0.05	-1.1	-1.15	-1.28	-2.15	-1.75
At3g26650	0.15	-1.25	-1.22	-1.2	-1.2	-0.05
At3g26650	0.6	-1.23	-1.23	-1.2	-1.5	-0.07
At3g26900	0.05	-0.75	-0.72	-1	-1.88	-1.6
At3g27300	0.55	-0.55	-0.58	0.58	1.2	1.93
At3g29200	1.38	1.2	1.35	1.5	-1.2	-1.2
At3g30775	-0.02	3.1	10.67	5.62	1.08	-2.27
At3g45140	-1.03	0.05	0.98	0.9	1.75	2.57
At3g46100	-0.03	1.4	-0.68	1.25	1.28	1.28
At3g47800	1.57	1.33	1.58	0.95	3.68	2.4
At3g48170	-1.33	-1.15	-1.18	-1.28	-1.35	-0.58
At3g48560	1.15	0	-0.6	-0.72	-1.47	-2.05
At3g48730	0.62	-0.65	-0.55	-1.25	-1.2	-1.35
At3g50660	1.33	0.88	0.05	-0.12	0.9	0.82
At3g51240	0.72	1.88	3.33	6.45	5.28	3.77
At3g51820	0.62	0.1	-0.03	0.57	0.05	-1.2
At3g51820	0.82	0.05	0.12	-0.12	0.15	-1.3
At3g52200	-1.15	0	-0.6	-1.17	-1.2	1.28
At3g52200	-0.57	0	-0.5	-0.53	-0.55	1.53
At3g52200	0.13	0.75	0.6	0.72	0.75	1.9
At3g52600	-0.75	-0.08	-0.82	-0.35	-0.3	0.8
At3g53260	0.62	1.4	2.47	3.52	2.82	2.73
At3g54050	0.02	0	0	0	0.6	0.68
At3g55120	1.25	1.63	2.53	4.3	5.1	5.02
At3g55400	1.28	0.58	0.12	0.55	1.15	-0.6
At3g55800	1.2	1.1	0.62	0.67	0	1.13
At3g57050	-1.7	-1.25	-1.45	-1.45	-1.55	-1.35
At3g57610	0.55	-0.07	-0.02	-0.62	0	0.1
At3g58610	-0.68	-0.05	-0.1	-0.65	0.03	-0.03
At3g58610	-0.03	-1.15	-0.1	-0.83	-0.58	-1.22
At3g59970	0	-0.58	-0.08	0.05	-0.58	-1.2
At3g61440	-0.05	-0.08	-0.75	-0.65	-2.05	-0.62
At3g61440	0.03	-0.22	-1.32	-1.47	-1.35	-1.3
At3g61510	-0.53	-1.3	-1.2	1.32	0.53	-1.28
At3g62830	0.22	-0.65	-0.7	-0.65	0.1	1.25
At4g36220	-0.3	-0.55	-0.65	-0.07	-1.2	-0.05
At4g00040	-1.45	-2.05	-4.2	-2.45	-1.62	-0.6
At4g00560	-0.7	0.72	-0.08	-0.72	-1.57	-1.97
At4g00570	-1.38	-1.2	-1.22	-0.05	1.3	1.53
At4g01070	-0.6	0	0	1.4	-2.1	-1.33
At4g01690	0.5	-1.15	-1.18	-1.13	-1.13	-0.05
At4g02120	-0.1	-0.05	-1.5	-1.62	-2.03	-1.68
At4g02260	-0.22	-0.55	-0.1	0.65	0.6	-1.53
At4g02280	-0.53	1.45	1.7	1.6	1.72	2.38
At4g02610	-0.62	-1.25	-1.3	-2.07	-2.35	-0.67
At4g02610	0.8	-0.02	0.08	0.1	-0.97	0.72
At4g04350	0.1	0.2	0.07	0.22	1.28	0.22
At4g04610	-1.8	-1.55	-1.38	-0.7	-2.63	-2.23
At4g08870	1.15	-0.65	-0.77	-1.17	-3.22	-4.55
At4g09320	-0.65	-1.45	-1.3	-1.4	-0.6	-1.13
At4g10120	0.82	0.08	0.03	0.13	1.47	-0.7
At4g10320	0.07	-0.12	-1.15	-0.05	1.18	1.13
At4g10490	-0.5	0.1	0.95	0.2	1.45	0.82
At4g10750	1.15	0.6	0.58	-1.2	-1.3	-1.15
At4g11010	-1.22	-0.03	-0.03	-1.2	-1.23	1.25
At4g11280	3.43	6.6	3.1	-0.03	1.93	0.03
At4g11280	4.95	5.65	2.85	-0.62	1.85	-0.05
