#
#  ecocyc 9.5 Genes link table generated on Wed Jul 27, 2005
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  SwissProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   EG#          = EcoGene identifier
#   b#           = Blattner Genbank record identifier
#   y-name       = EcoGene y-name assigned in 1998 if the function was not established at that time
#   CGSC-ID      = Coli Genetic Stock Center identifier
#   SwissProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
G99				180		sad
G98				18016		prr
G7945		b4358	yjjN		P39400	yjjN
G7918		b4308	yjhR		P39369	yjhR
G7916		b4306	yjhP		P39367	yjhP
G7915		b4303	yjhM		P39364	sgcQ
G7910		b4297	yjhG		P39358	yjhG
G7880		b4249	yjgI		P39333	yjgI
G7868		b4211	ytfG		P39315	ytfG
G7841		b4161	yjeQ		P39286	yjeQ
G7745		b3402	yhgE		P45804	yhgE
G7741		b3398	yrfF		P45800	yrfF
G7732		b3380	yhfW		P45549	yhfW
G7731		b3379	yhfV		P45548	php
G7616		b3102	yqjG		P42620	yqjG
G7603		b3084	ygjO		P42596	ygjO
G7531		b2955	yggW		P52062	yggW
G7511		b2898	ygfZ		P39179	ygfZ
G7431		b2765	ygcM		Q46903	sscR
G7165		b2252			P45565	ais
G6939		b1743			P77754	spy
G6878		b1635			P39100	gst
G6770		b1463	yddI		P77567	nhoA
G6634		b1266	yciV		P77766	trpH
G6580		b1134	ymfB		P75965	ymfB
G6567		b1107	ycfO		P75949	nagZ
G6556		b1059			P40874	solA
G6539		b1033	ycdW		P75913	ghrA
G6491		b0951			P43671	pqiB
G6490		b0950			P43670	pqiA
G6454		b0869	ybjT		P75822	ybjT
G6428		b0825	ybiZ		P78055	fsaA
G6326		b0581	ybdK		P77213	ybdK
G63				18064		pat
G6246		b0446			P46891	cof
G6236		b0419	yajO		P77735	yajO
G6082		b0011	yaaW		P75617	yaaW
G489						treE
G26				863		dgd
G0-9609		b4425				rtT
G0-9582		b4415	ybdY		P77091	hokE
G0-9562		b4411	yjeU		P56549	ecnB
G0-9461		b2320			P05459	pdxB
G0-9342						psrA2
G0-8913		b4447				rygD
G0-8601		b2978	yghL		P52074	glcF
G0-41		b4410			P56548	ecnA
EG12600	EG12600	b4394	yjjX		P39411	yjjX
EG12263	EG12263	b3536	yhjS		P37657	bcsE
EG12257	EG12257	b3530	yhjL		P37650	bcsC
EG11736	EG11736	b0200	yaeD		P31546	gmhB
EG11383	EG11383	b3209	yzzB		P26428	elbB
G8203		b0701			P75740	rhsC_2
G7383		b2648	ypjG		P76611	pinH
G6376		b0703	ybfO		P77779	ybfO
EG10849	EG10849	b0497			P16919	rhsD
EG10848	EG10848	b0700			P16918	rhsC_1
EG10847	EG10847	b3482			P16917	rhsB
