# This E. coli expression dataset was provided courtesy of
# Prof. Tyrell Conway from the University of Oklahoma, and
# is described in Tao et al, 1999, J. Bact., 181:645.
#
# Users will typically want to display the ratio of the 12 and 13th 
# columns, i.e. since the first column is numbered column zero, display the
# ratios of columns number 11 and 12.
#
# Columns of this dataset are:
# GlcVol1a	GlcVolb	ratioa/b	loga/b	GlcLBa Vol	GlcLBb Vol	ratioa/b	loga/b	MinGlc Avg Vol	GlcLB Avg Vol	Min Glc Pct	Glc LB Pct	Array Pos	F2	Field	Spot	Glc Min/LB Ratio	Log Ratio	GeneM53	b#	M53product	Functional Group	M53 function	
#
#
b0001	2967	3166	-1.07	-0.028	1364	1253	1.09	0.037	3066	1309	0.018094	0.007880	E7	4	2	1851	2.30	0.361	thrL	b0001	thr operon leader peptide	Amino acid biosynthesis	leader; Amino acid biosynthesis: Threonine	
b0002	3161	5195	-1.64	-0.216	2066	2066	1.00	0.000	4178	2066	0.024651	0.012439	G7	4	2	1852	1.98	0.297	thrA	b0002	"aspartokinase I, homoserine dehydrogenase I"	Amino acid biosynthesis	enzyme; Amino acid biosynthesis: Threonine	
b0003	12621	15198	-1.20	-0.081	11863	11826	1.00	0.001	13909	11845	0.082076	0.071311	I7	4	2	1853	1.15	0.061	thrB	b0003	homoserine kinase	Amino acid biosynthesis	enzyme; Amino acid biosynthesis: Threonine	
b0004	7517	9300	-1.24	-0.092	4800	4821	-1.00	-0.002	8408	4811	0.049615	0.028963	K7	4	2	1854	1.71	0.234	thrC	b0004	threonine synthase	Amino acid biosynthesis	enzyme; Amino acid biosynthesis: Threonine	
b0005	3982	4287	-1.08	-0.032	1903	2141	-1.12	-0.051	4135	2022	0.024397	0.012175	P15	4	2	2656	2.00	0.302	b0005	b0005	"orf, hypothetical protein"	"Hypothetical, unclassified, unknown"	orf; Unknown	
b0006	315	528	-1.06	-0.024	482	428	1.00	0.000	421	455	0.002487	0.002740	B17	4	2	2657	-1.00	0.000	yaaA	b0006	"orf, hypothetical protein"	"Hypothetical, unclassified, unknown"	orf; Unknown	
b0007	2165	1788	1.21	0.083	641	781	-1.22	-0.086	1976	711	0.011662	0.004282	O14	3	1	632	2.72	0.435	yaaJ	b0007	inner membrane transport protein	Putative transport proteins	"putative transport; Transport of small molecules: Amino acids, amines"	
b0008	3363	5705	-1.70	-0.230	4938	5513	-1.12	-0.048	4534	5226	0.026753	0.031462	P2	2	1	1256	-1.18	-0.070	talB	b0008	transaldolase B	Central intermediary metabolism	"enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway"	
b0009	7400	5193	1.42	0.154	5886	5371	1.10	0.040	6297	5629	0.037154	0.033887	G18	4	2	2276	1.10	0.040	mog	b0009	required for the efficient incorporation of molybdate into molybdoproteins	"Biosynthesis of cofactors, prosthetic groups and carriers"	"transport; Biosynthesis of cofactors, carriers: Molybdopterin"	
b0010	1858	1177	1.58	0.198	1310	1564	-1.19	-0.077	1517	1437	0.008952	0.008649	D17	4	2	2658	1.04	0.015	yaaH	b0010	"orf, hypothetical protein"	"Hypothetical, unclassified, unknown"	orf; Unknown	
b0011	2317	2181	1.06	0.026	1482	1394	1.06	0.027	2249	1438	0.013272	0.008658	F19	1	2	2379	1.53	0.186	b0011	b0011	putative oxidoreductase	Putative enzymes	putative enzyme; Not classified	
b0012	1501	1374	1.09	0.039	1044	1007	1.04	0.016	1438	1026	0.008484	0.006175	F1	4	1	1059	1.37	0.138	htgA	b0012	positive regulator for sigma 32 heat shock promoters	Regulatory function	"regulator; Adaptations, atypical conditions"	
b0013	1902	1844	1.03	0.013	573	1042	-1.82	-0.260	1873	807	0.011053	0.004859	F17	4	2	2659	2.27	0.357	yaaI	b0013	"orf, hypothetical protein"	"Hypothetical, unclassified, unknown"	orf; Unknown	
b0014	11956	14178	-1.19	-0.074	17228	15065	1.14	0.058	13067	16147	0.077106	0.097211	H1	4	1	1060	-1.26	-0.101	dnaK	b0014	chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins	Cell processes	factor; Chaperones	
b0015	3059	3625	-1.19	-0.074	3363	3614	-1.07	-0.031	3342	3488	0.019719	0.021002	J1	4	1	1061	-1.07	-0.027	dnaJ	b0015	chaperone with DnaK; heat shock protein	Cell processes	factor; Chaperones	
b0016	5779	4737	1.22	0.086	4531	4226	1.07	0.030	5258	4378	0.031027	0.026360	G5	4	1	308	1.18	0.071	yi81_1	b0016	IS186 hypothetical protein	"Phage, transposon, or plasmid"	"IS, phage, Tn; Transposon-related functions"	
b0017	3171	3726	-1.18	-0.070	1961	1950	1.01	0.002	3449	1955	0.020349	0.011772	H17	4	2	2660	1.73	0.238	yi82_1	b0017	IS186 & IS421 hypothetical protein	"Phage, transposon, or plasmid"	"IS, phage, Tn; Transposon-related functions"	
b0018	3549	3682	-1.04	-0.016	2189	2365	-1.08	-0.034	3616	2277	0.021334	0.013710	L1	4	1	1062	1.56	0.192	gef	b0018	Gef protein interferes with membrane function when in excess	Cell processes	membrane; Cell killing	
b0019	2520	2614	-1.04	-0.016	1260	1072	1.17	0.070	2567	1166	0.015146	0.007019	A16	3	1	633	2.16	0.334	nhaA	b0019	"Na+/H antiporter, pH dependent"	Transport and binding proteins	transport; Transport of small molecules: Cations	
b0020	1035	1114	-1.08	-0.032	664	753	-1.13	-0.054	1075	708	0.006342	0.004265	C16	3	1	634	1.49	0.172	nhaR	b0020	transcriptional activator of nhaA	Regulatory function	regulator; Transport of small molecules: Cations	
b0021	655	615	1.07	0.028	738	673	1.10	0.040	635	705	0.003747	0.004247	I5	4	1	309	-1.13	-0.054	insB_1	b0021	IS1 protein InsB	"Phage, transposon, or plasmid"	"IS, phage, Tn; Transposon-related functions"	
b0022	13277	12605	1.05	0.023	7910	7879	1.00	0.002	12941	7895	0.076363	0.047530	K5	4	1	310	1.61	0.206	insA_1	b0022	IS1 protein InsA	"Phage, transposon, or plasmid"	"IS, phage, Tn; Transposon-related functions"	
b0023	7269	6930	1.05	0.021	26118	27613	-1.06	-0.024	7099	26865	0.041891	0.161743	I9	2	2	1669	-3.86	-0.587	rpsT	b0023	30S ribosomal subunit protein S20	"Translation, post-translational modification"	"structural component; Ribosomal proteins - synthesis, modification"	
b0024	832	1550	-1.86	-0.270	897	1026	-1.14	-0.058	1191	962	0.007027	0.005790	J17	4	2	2661	1.21	0.084	b0024	b0024	"orf, hypothetical protein"	"Hypothetical, unclassified, unknown"	orf; Unknown	
b0025	624	969	-1.55	-0.191	437	703	-1.41	-0.148	797	570	0.004701	0.003432	M19	2	1	175	1.37	0.137	ribF	b0025	putative regulator	Putative regulatory proteins	putative regulator; Not classified	
b0026	7795	9019	-1.16	-0.063	20992	21803	-1.04	-0.016	8407	21397	0.049606	0.128823	K9	2	2	1670	-2.60	-0.414	ileS	b0026	isoleucine tRNA synthetase	"Translation, post-translational modification"	"enzyme; Aminoacyl tRNA synthetases, tRNA modification"	
b0027	719	5	1.44	0.158	629	306	1.26	0.100	362	467	0.002136	0.002814	E16	3	1	635	-1.00	0.000	lspA	b0027	prolipoprotein signal peptidase (SPase II)	Cell processes	"enzyme; Protein, peptide secretion"	
b0028	2642	2459	1.07	0.031	2156	2154	1.00	0.000	2551	2155	0.015051	0.012972	L17	4	2	2662	1.16	0.065	slpA	b0028	probable FKBX-type 16KD peptidyl-prolyl cis-trans isomerase (a rotamase)	Putative factors	putative enzyme; Proteins - translation and modification	
b0029	271	657	-1.31	-0.119	428	722	-1.44	-0.160	464	575	0.002740	0.003460	C9	2	1	130	-1.15	-0.062	lytB	b0029	control of stringent response; involved in penicillin tolerance	Regulatory function	regulator; Global regulatory functions	
b0030	1614	1670	-1.03	-0.015	3584	3592	-1.00	-0.001	1642	3588	0.009689	0.021600	N17	4	2	2663	-2.23	-0.348	yaaF	b0030	"orf, hypothetical protein"	"Hypothetical, unclassified, unknown"	orf; Unknown	
b0031	2690	2752	-1.02	-0.010	2138	2401	-1.12	-0.050	2721	2269	0.016056	0.013661	M7	4	2	1855	1.18	0.070	dapB	b0031	dihydrodipicolinate reductase	Amino acid biosynthesis	enzyme; Amino acid biosynthesis: Lysine	
b0032	1681	1257	1.34	0.126	2254	2285	-1.01	-0.006	1469	2270	0.008668	0.013666	K16	1	2	1982	-1.58	-0.198	carA	b0032	"carbamoyl-phosphate synthetase, glutamine (small) subunit"	Nucleotide biosynthesis and metabolism	enzyme; Pyrimidine ribonucleotide biosynthesis	
b0033	1714	1499	1.14	0.058	1996	1824	1.09	0.039	1607	1910	0.009481	0.011500	M16	1	2	1983	-1.21	-0.084	carB	b0033	carbamoyl-phosphate synthase large subunit	Nucleotide biosynthesis and metabolism	enzyme; Pyrimidine ribonucleotide biosynthesis	
b0034	375	678	-1.36	-0.132	296	359	-1.00	0.000	527	328	0.003108	0.001974	N1	4	1	1063	1.04	0.015	caiF	b0034	transcriptional regulator of cai operon	Regulatory function	"regulator; Central intermediary metabolism: Pool, multipurpose conversions"	
b0035	19772	17619	1.12	0.050	15167	17921	-1.18	-0.072	18696	16544	0.110318	0.099605	H4	2	3	1064	1.11	0.044	caiE	b0035	possible synthesis of cofactor for carnitine racemase and dehydratase	Putative enzymes	"putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions"	
b0036	11160	11535	-1.03	-0.014	7161	7313	-1.02	-0.009	11348	7237	0.066958	0.043569	B3	4	1	1065	1.54	0.187	caiD	b0036	carnitine racemase	Central intermediary metabolism	enzyme; Degradation of small molecules: Amines	
b0037	1223	1160	1.05	0.023	592	599	-1.01	-0.005	1192	595	0.007032	0.003583	D3	4	1	1066	1.96	0.293	caiC	b0037	probable crotonobetaine/carnitine-CoA ligase	Putative enzymes	"putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions"	
b0038	4947	5756	-1.16	-0.066	3415	3613	-1.06	-0.024	5351	3514	0.031575	0.021156	F3	4	1	1067	1.49	0.174	caiB	b0038	l-carnitine dehydratase	Central intermediary metabolism	"enzyme; Central intermediary metabolism: Pool, multipurpose conversions"	
b0039	1423	1588	-1.12	-0.048	1121	1202	-1.07	-0.031	1506	1162	0.008884	0.006993	H3	4	1	1068	1.27	0.104	caiA	b0039	probable carnitine operon oxidoreductase	Putative enzymes	"putative regulator; Central intermediary metabolism: Pool, multipurpose conversions"	
b0040	4123	4193	-1.02	-0.007	2154	2173	-1.01	-0.004	4158	2163	0.024536	0.013025	J3	4	1	1069	1.88	0.275	caiT	b0040	probable carnitine transporter	Putative transport proteins	"putative transport; Central intermediary metabolism: Pool, multipurpose conversions"	
b0041	4403	4944	-1.12	-0.050	2733	3480	-1.27	-0.105	4673	3106	0.027577	0.018703	B4	2	1	1257	1.47	0.169	fixA	b0041	"probable flavoprotein subunit, carnitine metabolism"	Putative enzymes	"putative enzyme; Energy metabolism, carbon: Electron transport"	
b0042	371	733	-1.47	-0.166	152	660	-1.32	-0.120	552	406	0.003256	0.002443	D4	2	1	1258	1.09	0.036	fixB	b0042	"probable flavoprotein subunit, carnitine metabolism"	Putative enzymes	"putative enzyme; Energy metabolism, carbon: Electron transport"	
b0043	1182	1038	1.14	0.056	420	525	-1.05	-0.021	1110	472	0.006550	0.002844	P17	4	2	2664	2.18	0.339	fixC	b0043	flavoprotein; electron transport	Putative enzymes	"putative carrier; Energy metabolism, carbon: Electron transport"	
b0044	211	465	-1.00	0.000	639	751	-1.18	-0.070	338	695	0.001993	0.004186	F4	2	1	1259	-1.40	-0.145	fixX	b0044	putative ferredoxin	Putative enzymes	putative carrier; Not classified	
b0045	33037	30532	1.08	0.034	13348	11807	1.13	0.053	31785	12578	0.187551	0.075725	G16	3	1	636	2.48	0.394	yaaU	b0045	putative transport protein	Putative transport proteins	putative transport; Not classified	
