ORF	Name	R2.Ratio	R3.Ratio	R4.Ratio	R5.Ratio	R6.Ratio	R7.Ratio
YHR007C	ERG11	1.19	1.32	.88	.84	.38	.43	
YBR218C	PYC2	1.23	.77	.75	.79	.71	2.7	
YAL051W	FUN43	1.32	1.33	1.18	1.12	.88	.93	
YAL053W		1.33	1.18	1	.81	.7	.96	
YAL054C	ACS1	.88	1	.88	.81	2.78	12.5	
YAL055W		1	.92	.96	.81	1.28	1.85	
YAL056W		1.56	1.19	1	.94	1.09	1.41	
YAL058W	CNE1	1.23	1.15	1.03	.87	1.02	.93	
YOL109W		1.56	1.89	1.47	1.12	2.44	2.78	
YAL065C		.65	1.14	.97	.78	1.12	1.23	
YAL066W		.86	1.02	.84	.88	1.06	1.04	
YAL067C		.51	.75	.49	.54	1.35	1.18	
YAR002AC		1.15	1.15	1.12	.95	.89	.77	
YAR002W	FUN17	.79	1.19	.88	.8	.96	.4	
YAR003W	FUN16	1.02	1.2	.85	.93	.99	1.22	
YAL001C	TFC3	1.92	.9	1.01	.8	.98	.91	
YAL002W	VPS8	1.43	.97	.97	.85	1.04	1.85	
YAL003W	TEF5	1	.97	.64	.52	.34	.2	
YAL004W		1.06	1.06	.97	.87	1.02	.88	
YAL005C	SSA1	1.03	1.03	.99	.92	1.01	.9	
YAL007C		1.27	1.08	.9	.96	.88	.72	
YAL008W	FUN14	1.47	1.25	1.23	.9	2.13	1.35	
YAL009W	SPO7	1.28	1.12	.83	.83	1.15	.85	
YAL010C	MDM10	.93	1.03	.54	.53	1.28	.88	
YAL011W	FUN36	1.11	.88	.63	.68	.9	.81	
YAL012W	CYS3	.99	1.47	.67	.6	.42	.17	
YAL013W	DEP1	.82	.93	.61	.64	1.16	.93	
YAL014C	FUN34	.76	.85	.73	.77	.95	.58	
YAL015C	FUN33	.86	.86	.9	1.05	1.79	1.14	
YAL016W	TPD3	1.06	1.11	.95	.89	1.35	.94	
YAL017W	FUN31	.97	.9	1.25	1.35	1.64	2.78	
YAL018C		.48	1.11	.53	.67	1.59	1.18	
YAL019W	FUN30	.9	.96	.72	.76	.49	.6	
YAL020C	ATS1	.87	.85	.82	.81	.77	.63	
YAL021C	CCR4	1.08	.99	.79	.86	.9	.91	
YAL022C	FUN26	.88	1.54	1.12	1.11	1.32	.8	
YAL023C	PMT2	1.1	1.08	.79	1	.39	.45	
YAL024C	LTE1	.72	.91	.83	.7	.83	.62	
YAL025C	MAK16	.93	1	.6	.57	.24	.21	
YAL026C	DRS2	1.52	1.39	1.72	1.67	2.86	1.69	
YAL027W		2.08	1.06	.88	.71	1.47	1.39	
YAL028AW		1.52	.79	.89	.78	1.25	1.43	
YAL028W		1.15	.92	.93	.95	1.75	1.61	
YAL029C	MYO4	1.82	1.1	.93	.85	.56	.5	
YAL030W	SNC1	1.23	1.04	.91	.8	1.64	1.35	
YAL031C	FUN21	1.19	1.06	.88	.89	1.64	1.1	
YAL032C	FUN20	.85	.85	.72	.63	1.3	1.19	
YAL033W	FUN53	1.01	.85	.78	.72	.85	.61	
YAL034AW		.9	1.05	.85	.71	1.82	1.3	
YAL034C	FUN19	1.2	.93	.61	.68	3.57	4.55	
YAL035W	FUN12	1.15	1.02	.64	.71	.58	.4	
YAL036C	FUN11	1.02	1.3	.63	.68	.4	.26	
YAL037W		.74	.94	.82	.86	1.01	1.22	
YAL038W	PYK1	1.14	1.22	.78	.76	.4	.2	
YAL039C	CYC3	.93	1.04	.78	1.08	.91	.7	
YAL040C	CLN3	1.06	1.23	.67	.63	1.12	.72	
YAL041W	CDC24	.98	1.04	.65	.81	.57	.72	
YAL042W	FUN9	.68	1.39	.7	.73	1.25	.6	
YAL043C	PTA1	.93	.65	.45	.65	.46	.76	
YAL044C	FUN40	1.05	1.32	1.64	2.44	1.39	.69	
YAL045C		.74	.91	.69	1.2	1	1.02	
YAL046C		.88	.99	.58	.65	.43	.36	
YAL047C	FUN42	.91	1.04	.65	.87	.88	1.27	
YAL048C		1.11	.79	.75	.72	1.06	1.27	
YAL049C		1.1	.97	.89	1.09	2	1.64	
YAL059W		1.15	.94	.55	.48	.39	.29	
YAL060W	FUN49	1.23	1.15	1.43	1.37	3.85	2.7	
YAL061W	FUN50	1.15	.85	.81	1.69	3.7	1.52	
YAL062W	GDH3	1.25	.86	.82	.97	.61	.81	
YAL063C		.9	1.08	.88	.81	.7	1.27	
YAL064W	FLO9	.93	.88	.75	.88	.62	1.16	
YAR007C	RFA1	.8	.85	.83	.89	.7	.37	
YAR008W	FUN4	.6	.7	.63	.64	.66	.46	
YAR009C	TY1B	1.11	.99	.84	.86	.5	.41	
YAR010C	TY1A	1.09	1.05	.99	1	.65	.67	
YAR014C	FUN2	1.54	.97	.81	.78	.81	.66	
YAR015W	ADE1	1.61	2.04	1.72	1.75	.86	.65	
YAR018C	KIN3	1.22	1.35	1.12	.95	1.39	.65	
YAR019C	CDC15	1.59	.8	.83	.57	1.08	1.2	
YAR020C		1.59	1	.96	.88	.88	.83	
YAR023C		1.37	1.22	1.06	.68	2	2	
YAR027W	FUN55	1.28	1.33	1.54	1.39	3.45	1.59	
YAR028W		1.28	1.67	1.33	1.16	2.86	1.49	
YAR029W	FUN57	1.03	.79	1.05	.67	1.2	.85	
YAR030C		1.37	1.04	.85	.61	1.09	.88	
YAR031W		1.33	1.28	1.2	.89	1.96	1.15	
YAR033W	FUN59	1.28	1.32	1.14	.82	1.45	1.45	
YAR035W	YAT1	.81	.99	.78	.77	.78	.6	
YAR037W		.81	.97	.93	.94	1.05	.9	
YAR040C		.75	.85	.71	.63	.87	.64	
YAR042W		.8	.97	.77	.88	1.08	1.09	
YAR043C		.76	.88	.79	.72	1.04	.6	
YAR044W	SWH1	.93	1.11	1.25	1.11	1.25	1.18	
YAR047C		.81	1	.83	.73	1.08	.85	
YAR050W	FLO1	1.03	1.11	1.02	.91	.79	1.28	
YAR052C		.83	1	.87	.72	.74	.93	
YAR053W		.81	.93	.92	.95	.84	.85	
YAR060C		.64	.76	.72	.6	.95	.71	
YAR061W		.81	.9	.92	.88	.93	1.27	
YAR062W		1.15	1.1	.93	.63	1.18	1.35	
YAR064W		1.69	.94	.88	.61	.88	.94	
YAR068W		1.2	1.49	1.33	.99	1.41	1.52	
