# The data in this file were provided by Tyrell Conway's laboratory at
# OUMCF.  Samples were collected during a classic glucose-lactose
# diauxie experiment.  E. coli cells were grown in minimal medium
# containing 0.05% glucose and 0.15% lactose.  The dataset can be
# approximately divided into growth phases as follows:
# Timepoints 1-5 show logarithmic growth on glucose; time points 6-10
# reflect the diauxic lag phase, when cells shift from growth on
# glucose to growth on lactose; time points 11-14 reflect logarithmic
# growth on lactose; and time points 15-17 were taken during
# stationary phase.  Control values were obtained by averaging data
# from 12 hybridization experiments using samples from the early
# logarithmic growth phase.  A publication describing the results is
# available: Chang et al., Mol Microbiol. 2002 Jul;45(2):289-306.  See
# also http://www.ou.edu/microarray/oumcf/growth_trans.htm.
#
#BNUM	GENE	Timept 1	Timept 2	Timept 3	Timept 4	Timept 5	Timept 6	Timept 7	Timept 8	Timept 9	Timept 10	Timept 11	Timept 12	Timept 13	Timept 14	Timept 15	Timept 16	Timept 17
b0001	thrL	-0.289811206	0.11312121	0.469687518	0.606774593	0.361476153	0.002132099	-0.27340896	-0.195801559	0.202572354	-0.07819185	0.412775433	0.069647231	0.251686153	0.039828838	-0.026650367	-0.052572728	-0.203122531
b0002	thrA	-0.339379809	-0.146943689	0.152314212	0.032737467	0.054324378	-0.575087018	-0.549972386	-0.504054097	-0.520892111	-0.48108015	0.263037794	0.063436629	0.339803519	0.038622674	-0.412032763	-0.407286288	-0.570903884
b0003	thrB	0.021291775	0.246062715	0.201360969	0.480626825	0.515947503	0.71923233	0.430189053	0.146186597	-0.130115088	-0.102090076	-0.062330763	0.109974634	0.848359111	0.163540504	-0.455268265	0.115904423	0.369530342
b0004	thrC	-0.322162733	-0.118317041	0.349295557	0.227714161	0.032394418	-0.602924321	-1.636908146	-1.89084163	-1.995663051	-0.902361227	0.273633374	-0.083363289	0.600294592	0.2171922	-1.474110967	-1.312928966	-1.619075559
b0005	b0005	-0.235611204	-0.164611336	0.130712458	0.117881576	-0.288276864	0.109337742	0.229339451	0.720610489	-0.00305997	0.060584611	0.308802581	-0.123306565	-0.293177925	-0.098076576	0.056800367	0.181267559	-0.113737299
b0006	yaaA	-0.304470523	-0.032105166	0.197177687	0.247572345	-0.240763629	-0.130436186	-0.069284898	-0.085912607	-0.204011534	-0.042155115	0.37306939	-0.203631377	-0.1319572	-0.068760019	-0.144491269	-0.047956976	-0.19130477
b0007	yaaJ	-0.0435144	0.064960242	0.105682716	0.134471532	0.041052099	0.455292968	0.199330162	0.109700763	0.120294288	-0.051431153	-0.043641102	-0.193790906	-0.149883244	-0.008739632	-0.046917143	-0.198997182	-0.307829428
b0008	talB	-0.097954371	-0.187044343	0.319465811	0.345060355	-0.163127157	-0.499541393	-1.268766118	-1.328900972	-1.311999222	-1.112856159	0.096848872	-0.091378394	0.465652811	0.109746952	-1.160987793	-1.436023223	-1.402866066
b0009	mog	0.155380259	0.053910827	0.126541079	0.327360818	0.203484803	0.175864235	0.385446964	0.205137327	0.068789978	0.130690906	-0.151062886	0.074797153	0.341788835	0.145684039	0.190456629	-0.143667871	0.23647816
b0010	yaaH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
