GB_GI	GB_accession	Clone_name
2088901	B13139.1	T25L2
2088905	B13143.1	T26D6
2088920	B13170.1	T27A24
2088927	B13177.1	T18O8
2088929	B13179.1	T19B18
2088931	B13181.1	T19C18
2088932	B13182.1	T19C20
2088934	B13184.1	T19D10
2088936	B13186.1	T19D7
2088938	B13188.1	T19F20
2088940	B13190.1	T19G22
2088943	B13193.1	T19J5
2088944	B13194.1	T19K11
2088945	B13195.1	T1A1
2088946	B13196.1	T19K17
2088947	B13197.1	T19L10
2088948	B13198.1	T19M15
2088951	B13201.1	T19N7
2088952	B13202.1	T19O14
2088953	B13203.1	T19P7
2088954	B13204.1	T19P7
2088955	B13205.1	T1A1
2088956	B13206.1	T1A10
2088957	B13207.1	T1A11
2088994	B13263.1	T1A18
2088996	B13265.1	T1C3
2088997	B13266.1	T1E4
2089003	B13282.1	T23B13
2089004	B13283.1	T23E23
2089018	B13297.1	T24D9
2089025	B13304.1	F24G2
2089186	B08065.1	T3N9
2089191	B08070.1	T5K5
2089196	B08075.1	T7L19
2089197	B08076.1	T7L19
2089205	B08084.1	T1F7
2089218	B08097.1	T10O1
2089229	B08108.1	T1F9
2089230	B08109.1	F17I8
2089237	B08116.1	T16J6
2089254	B08122.1	T30M20
2089293	B08171.1	F12J20
2089426	B08294.1	T10K21
2089427	B08295.1	T10L20
2089429	B08297.1	T10M10
2089430	B08298.1	T11A18
2089459	B08338.1	T1B10
2089504	B08373.1	T29O18
2089535	B08413.1	T8P20
2089537	B08415.1	T9J21
2089545	B08423.1	T10M10
2089557	B08435.1	T11I10
2089558	B08436.1	T20E12
2089561	B08439.1	T20H21
2089566	B08444.1	T26G5
2089574	B08301.1	T23G20
2089586	B08453.1	T12L13
2089600	B08477.1	T2F4
2089616	B08493.1	T14A1
2089638	B08515.1	T6N1
2089655	B08532.1	T16G20
2089763	B08632.1	T12M11
2089764	B08633.1	T12P18
2089769	B08649.1	T16K7
2089773	B08653.1	T18K4
2089775	B08655.1	T19A4
2089776	B08656.1	T19E23
2089792	B08672.1	T28M18
2089800	B08680.1	T29C6
2089818	B08698.1	T2B8
2089823	B08703.1	T2J7
2089842	B08557.1	T31J12
2089851	B08720.1	T3A19
2089863	B08744.1	T4P23
2089870	B08751.1	T5I21
2089889	B08770.1	T8G15
2089891	B08772.1	T8J13
2089895	B08776.1	T8N2
2089900	B08781.1	T9H7
2089922	B08636.1	T6M11
2089942	B08812.1	T22J7
2089943	B08813.1	T7N22
2089949	B08831.1	T22L13
2089950	B08832.1	T25H4
