Gene Symbol	Full Name of Mutant Gene Symbol	Date	Reference Lab

AAA	Activated Ac activity	10/99	Jarvis
AAN	Another Andante - Altered circadian period	11/98	Millar
AAO	Aldehyde Oxidase	< 6/02	Koshiba
AAT	Aspartate aminotransferase deficient	YB	Coruzzi, Schultz
ABA	ABA deficient	YB	Koornneef
ABC	Aberrant chloroplasts	< 6/02	Shibata
ABF	ABRE binding factor	< 6/02	Palva
ABH	ABA Hypersensitive	< 6/02	Schroeder
ABI	ABA insensitive	YB	Koornneef
ABR	Activation tagged brassinazole resistant mutant	10/00	Chory
ABS	Abnormal, aborted seeds	YB	Vizir
ACA	Azetidine-2-carboxylic acid resistant	YB	Lehle
ACD	Accelerated cell death	YB	Ausubel, Greenberg
ACE	Adhesion of calyx edges	M97	Araki
ACF	Suppressor of FCA	YB	Dean
ACL	Acaulis (short floral stems)	YB	Komeda
ACT	Chloroplast glycerol-3-phosphate-acyltransferase deficient	YB	Somerville
ACW	Altered Cell Wall	6/02	Shibata
ADA	Andarta (female gametophytic lethal)	2/98	Grossniklaus
ADD	Arrested development	4/95	Pickett, Meeks-Wagner
ADG	ADP glucose pyrophosphorylase deficient	YB	Caspar
ADH	Alcohol dehydrogenase deficient	YB	Meyerowitz, Jacobs
ADL	Arabidopsis Dynamin Like	< 6/02	Bednarek
ADN	Adnormal (radially symmetric leaves)	M97	Barton
ADO	Adagio (Alias of ZTL) Altered circadian period	< 6/02	Cashmore
ADR	Activated disease resistance	6/00	Loake
AEL	Activation tagged enhancer of hypocotyl length	3/99	Weigel/Chory
AES	Abnormal early stomata	11/97	Schneider
AFO	Abnormal floral organs	7/98	Sundaresan
AG	Agamous	YB	Koornneef
AGA	Agamous activated	10/97	Chen, Meyerowitz
AGB	Arabidopsis G-Protein Beta Subunit	< 6/02	Walker
AGD	Aberrant growth and death (similar to lesion mimics)	11/00	Greenberg
AGE	Auxin altered gene expression	9/96	Theologis
AGI	Aberrant GST1 induction	5/98	Greenberg
AGL	Loss of AGL8 fx.(abnormal silique)	M97	Yanofsky, Martienssen
AGO	Argonaute (narrow leaf blade)	10/96	Benning, Caboche
AGP	Arabinogalactan protein disrupted	9/99	Bacic
AGR	Agravitropic	YB	Maher
AHA	Knockout of plasma membrane H+-ATPase	M97	Sussman
AHD	Airhead (organ fusion)	9/96	Pruitt, Lolle
AHM	Arabidopsis Heavy Metal Transporters	6/02	Cobbett
AHS	ACC Hypersensitive	N96	Van der Straeten
AIM	Abnormal inflorescence meristem	M95	Bleecker
AIN	Ethylene insensitive	YB	Van der Straeten
AIP	Altered inflorescence phyllotaxy	1/96	Davis
AIR	ABA competitive inhibitor responsive	11/99	Shinozaki
AKT	Defect in plasma membrane K+ channel	M97	Sussman
AKV	Antikevorkian (4 surviving megaspores)	8/99	Sundaresan
ALA	Alanyl tRNA Synthetase defective (embryo lethal); formerly ACD	1/02	Zhu
ALB	Albina	YB	Koornneef
ALC	Alcatraz (Silique dehiscence defective)	12/00	V. Sundaresan
ALE	Abnormal leaf shape (fused)	5/98	Machida
ALF	Aberrant lateral root formation	YB	Celenza, Fink
ALI	Alien (abnormal trichomes)	YB	Jurgens, Hulskamp
ALR	Aluminum resistant	4/95	Howell
ALS	Aluminum sensitive	4/95	Howell
AML	Arabidopsis Minute-Like (delayed embryo development)	10/00	Weijers
AMP	Altered meristem program	YB	Chaudhury
AMT	a-methyl tryptophan resistant	YB	Town
AN	Angustifolia (narrow leaf)	YB	Redei, Koornneef
ANA	Anat, partial female sterile	9/98	Grossniklaus
AND	Andante - Altered circadian period	11/98	Millar
ANG	Angusta (narrow leaves)	1/99	Micol
ANL	Anthocyaninless	6/95	Koornneef
ANT	Aintegumenta (integument defect)	6/95	Fischer, Gasser
ANU	Angulata (yellow leaves with dentate margins)	1/99	Micol
ANY	Anisotropy (expanded, isodiametric cells)	7/00	Wasteneys
AOP	Alkenyl vs 3-hydroxypropyl glucosinolates	8/00	Mitchell-Olds
AOS	Allene Oxide Synthase (male sterile)	11/01	Feldmann
AP	Apetala	YB	Koornneef
APA	Apetala 1 activated	10/97	Chen, Meyerowitz
APE	Acclimation of Photosynthesis to Environment	1/99	Horton
APG	Albino and pale green	5/00	Motohashi (Riken)
API	Apiculata (pointed leaves with incised margins)	1/99	Micol
APL	Altered phloem development	5/02	Helariutta
APS	Aberrant pollen sac	< 6/02	Saedler
APT	Adenine phosphoribosyl transferase	YB	Moffatt, Somerville
APU	Aschenputtel	5/99	Somerville, C.
AQP	Aquaporin (gene)	3/98	Schaeffner
ARA	Arabinose sensitive	YB	Cobbett
ARC	Accumulation, replication chloroplast	YB	Pyke, Leech
ARD	Ardhagarva (megagametophyte)	M95	Ray
ARG	Altered response to gravity	4/94	Sedbrook, Caspar, Masson
ARI	Arida (necrotic leaf lesions)	4/98	Ezhova
ARP	Altered RNase profile	8/94	Abler, Green
ARS	Arabidopsis ribosomal protein S27	5/98	Paszkowski
ART	Aerial rosette	12/95	Grbic, Barton
ARX	Altered reaction to Xanthomonas	9/96	Buell
AS	Asymmetric leaves	YB	Redei, Koornneef
ASA	Attenuated shade avoidance	12/98	Whitelam
ASB	Asymmetric trichome branch	12/99	Oppenheimer
ASC	Altered susceptibility to cyst nematode	5/00	Baum
ASF	Altered suspensor fate	9/97	Lindsey
ASH	Ashtoreth, partial female sterile	9/98	Grossniklaus
ASK	Arabidopsis Skp1-like (see also SKL)	10/97	Crosby
ASP	Activation suppressor of ppi1	3/99	Jarvis
AST	Anthocyanin spotted testa	5/96	Tanaka
ASY	Meiosis defective (asynaptic)	3/97	Vizir
ATA	Arabidopsis tapetum gene (not mutant)	5/98	Grant
ATD	Amidophosphoribosyl transferase deficient	3/97	van der Graaff
ATK	Arabidopsis thaliana kinesin (Male sterile)	2/02	H. Ma
ATN	Actin (Gene)	7/98	Meagher
ATR	Altered tryptophan regulation	YB	Bender, Fink
ATS	Aberrant testa shape	YB	Koornneef
AUX	Auxin-resistant	YB	Maher
AVB	Amphivasal vascular bundle	8/98	Ye
AXE	Auxin gene expression	2/00	Guilfoyle
AXR	Auxin-resistant	YB	Estelle
AYA	Asase ya, partial female sterile	9/98	Grossniklaus
AZA	5-azacytidine resistant	7/95	Dellaporta
AZD	5'-aza-2' deoxycytidine resistant	7/95	Dellaporta
BAD	Basal deletion (embryo,seedling)	M95	Berleth
BAG	Blassig (ovule defective)	6/96	Pruitt, Schneitz
BAI	BABA insensitive	< 6/02	Mauch-Mani
BAK	BRI associated receptor kinase	5/02	Walker
BAL	Ball (twisted leaves, reduced apical dominance)	11/95	Richards
BAM	Big Apical Meristem	6/00	Clark
BAN	Banyuls (anthocyanin in seed coat)	12/95	Albert, Devic
BAP	BON Association Protein	10/00	Fink
BAS	PHYB activation tagged suppressor	4/98	Chory
BBB	Reserved (leaf mutant)	YB	Feldmann
BBL	Bombadil (root defective)	YB	Scheres
BBM	Baby boom	2/00	Boutilier and CM Liu
BCF	Bicentifolia (leaf mutant)	YB	Feldmann
BDL	Bodenlos (seedling lethal)	10/98	Juergens and Hamann
BEL	Bell-shaped ovules, female sterile	YB	Pruitt, Gasser, Modrusan
BER	Bicyclic ether resistant	YB	Russell, Scolnik
BFP	Big fat pollen	N96	Dickinson
BGL	Bagel (partially divided guard cell)	7/98	Nakagawa
BGT	Big Top (Suppressor of topless)	4/02	Meyerowitz
BIB	Bibb (Leaf / floral defective)	4/02	Liljegren, Ecker
BIG	Bigbag	1/02	Scott
