GB_GI	GB_accession	Clone_end_name	Chromosome
2088874	B13232.1	F21J10	1
2089024	B13303.1	F24G1	1
2089028	B13307.1	F24G4	1
2089032	B13311.1	F22L17	1
2089033	B13312.1	F22M8	1
2089043	B13322.1	F23O5	1
2089045	B13324.1	F24A1	1
2089058	B13337.1	F24K19	1
2089102	B07981.1	F24P9	1
2089130	B08009.1	F5C12	1
2089144	B08023.1	F9H6	1
2089210	B08089.1	F22E16	1
2089215	B08094.1	F2L1	1
2089242	B08121.1	F24K13	1
2089306	B08184.1	F15M3	1
2089320	B08198.1	F22P19	1
2089381	B08259.1	F27G12	1
2089400	B08278.1	F5H2	1
2089402	B08280.1	F5O8	1
2089418	B08138.1	F8F7	1
2089640	B08517.1	F3B7	1
2089684	B08563.1	F24K2	1
2089687	B08566.1	F25H9	1
2089695	B08574.1	F27M8	1
2089729	B08608.1	F3L5	1
2089730	B08609.1	F3L5	1
2089959	B08841.1	F1I5	1
2090011	B08893.1	F25C19	1
2090016	B08725.1	F4P1	1
2090019	B08728.1	F10F7	1
2090027	B08897.1	F1I14	1
2090030	B08900.1	F4P1	1
2090049	B08930.1	F21I7	1
2090071	B08952.1	F21J14	1
2090088	B08969.1	F27H22	1
2090098	B08979.1	F21L17	1
2090105	B08986.1	F21L18	1
2090137	B09017.1	F19E2	1
2090147	B09027.1	F22D16	1
2090156	B09036.1	F13F11	1
2090173	B09053.1	F19C23	1
2090198	B09078.1	F3P16	1
2090214	B09083.1	F6K7	1
2090217	B09086.1	F7C21	1
2090228	B09108.1	F7J6	1
2090231	B09111.1	F7P5	1
2090345	B09226.1	F14D1	1
2090368	B09249.1	F7F3	1
2090373	B09254.1	F7M2	1
2090479	B09348.1	F2G19	1
2090561	B09274.1	F21N11	1
2090691	B09571.1	F20M3	1
2090696	B09576.1	F17F14	1
2090703	B09583.1	F10P24	1
2090705	B09585.1	F1J22	1
2090713	B09593.1	F21H24	1
2090723	B09447.1	F2C8	1
2090755	B09636.1	F25G24	1
2090758	B09639.1	F1N18	1
2090774	B09655.1	F24A4	1
2090777	B09658.1	F25H5	1
2090837	B09718.1	F21H24	1
2090843	B09724.1	F23B12	1
2090849	B09730.1	F23F13	1
2090853	B09734.1	F23H15	1
2090904	B09785.1	F25L14	1
2090906	B09615.1	F25L18	1
2091048	B09927.1	T18I24	1
2091168	B10046.1	F11G10	1
2091185	B10053.1	F24H6	1
2091190	B10069.1	F2G9	1
2091199	B10078.1	F24J19	1
2091204	B10083.1	F28I11	1
2091210	B10089.1	F5H11	1
2091249	B10128.1	F24C2	1
2091261	B09978.1	F6A17	1
2091330	B10211.1	F10O15	1
2091367	B10247.1	F6C6	1
2091384	B10264.1	F14G23	1
2091513	B10392.1	F23H11	1
2091552	B10432.1	F2N7	1
2091553	B10433.1	F3G17	1
2091569	B10449.1	F11J8	1
2091605	B10321.1	F18H1	1
2091657	B10536.1	F22B7	1
2091676	B10555.1	F12L18	1
2091682	B10561.1	F16J1	1
2091693	B10412.1	F25L18	1
2091696	B10415.1	F2G9	1
2091729	B10608.1	F28H24	1
2091746	B10625.1	F12G18	1
2091800	B10680.1	F22M10	1
2091828	B10708.1	F19E1	1
2091830	B10710.1	F20D1	1
2091925	B10804.1	F10P24	1
2091965	B10833.1	F19H6	1
2091972	B10850.1	F23I21	1
2092003	B10881.1	F24H6	1
2092004	B10882.1	F2J10	1
2092026	B10904.1	F16F24	1
2092029	B10907.1	F16J1	1
2092034	B10753.1	F23L22	1
2092061	B10939.1	F13G11	1
2092077	B10955.1	F7F6	1
2092106	B10984.1	F22I8	1
2092130	B10998.1	F12K3	1
2092136	B11004.1	F19A23	1
2092144	B11023.1	F6N24	1
2092180	B11059.1	F27H15	1
2092234	B11115.1	F12B12	1
2092245	B11126.1	F18N2	1
2092416	B11296.1	F15N23	1
2092454	B11334.1	F18A7	1
2092486	B11367.1	F16A6	1
2092574	B11454.1	F12H21	1
2092578	B11458.1	F13E4	1
2092595	B11475.1	F14B2	1
2092596	B11476.1	F14C3	1
2092651	B11363.1	F24G7	1
2092652	B11364.1	F25C1	1
2092670	B11549.1	F26P9	1
2092692	B11571.1	F6O16	1
2092799	B11676.1	F23J19	1
2092823	B11690.1	F1A12	1
2092859	B11737.1	F6G14	1
2092877	B11755.1	F1A17	1
2092900	B11619.1	F10C11	1
2092959	B11839.1	F24F20	1
2093089	B11969.1	F3F20	1
2093155	B11873.1	F16B1	1
2093189	B12069.1	F20G15	1
2093190	B12070.1	F21I5	1
2093278	B12158.1	F8C10	1
2093323	B12203.1	F25D9	1
2093325	B12043.1	F2E17	1
2093331	B12049.1	F8F3	1
2093345	B12224.1	F16A6	1
2093372	B12251.1	F12K8	1
2093400	B12279.1	F4M10	1
2093413	B12130.1	F16C24	1
2093498	B12214.1	F10M16	1
2093503	B12219.1	F11C2	1
2093511	B12380.1	F11J8	1
2093513	B12382.1	F11L10	1
2093556	B12436.1	F13M17	1
2093560	B12440.1	F14B2	1
2093570	B12450.1	F14J16	1
2093588	B12305.1	F16B20	1
2093617	B12497.1	F18C2	1
2093644	B12524.1	F1A12	1
2093658	B12538.1	F20B24	1
2093677	B12393.1	F21J1	1
2093679	B12395.1	F21J10	1
2093688	B12557.1	F22E11	1
2093696	B12576.1	F22G5	1
2093708	B12588.1	F22O16	1
2093712	B12592.1	F23D10	1
2093719	B12599.1	F23L12	1
2093724	B12604.1	F24B2	1
2093726	B12606.1	F24C4	1
2093727	B12607.1	F24D11	1
2093745	B12625.1	F24N7	1
2093746	B12626.1	F24O1	1
2093747	B12627.1	F24O19	1
2093748	B12628.1	F24P13	1
2093756	B12636.1	F25F5	1
2093758	B12638.1	F25G15	1
2093789	B12669.1	F26M8	1
2093790	B12670.1	F26M8	1
2093801	B12681.1	F27D1	1
2093803	B12683.1	F27G12	1
2093807	B12687.1	F27J4	1
2093824	B12704.1	F28P1	1
2093842	B12722.1	F2G19	1
2093844	B12724.1	F2I16	1
2093876	B12755.1	F4K18	1
2316160	B18256.1	F14J9	1
2316200	B18296.1	F14H16	1
2316203	B18299.1	F1C15	1
2316263	B18359.1	F28O22	1
2316363	B18459.1	F14O14	1
2316366	B18462.1	F15B1	1
2316397	B18493.1	F9G23	1
2316416	B18512.1	F20D2	1
2316419	B18515.1	F20M20	1
2316454	B18550.1	F13F16	1
2316456	B18552.1	F13G2	1
2316457	B18553.1	F13H1	1
2316487	B18583.1	F10K8	1
2316492	B18588.1	F13B19	1
2316494	B18590.1	F13E17	1
2316498	B18594.1	F8M9	1
2316499	B18595.1	F8P13	1
2316500	B18596.1	F9A22	1
2316502	B18598.1	F9E7	1
2316507	B18603.1	F9K23	1
2316508	B18604.1	F9P18	1
2316551	B18647.1	F12L10	1
2316560	B18656.1	F21C2	1
2316567	B18663.1	F8N18	1
2316645	B18741.1	F26A11	1
2316687	B18783.1	F2B12	1
2316725	B18821.1	F11F12	1
2316750	B18846.1	F9D21	1
2316772	B18868.1	F21C2	1
2316850	B18946.1	F18O17	1
2316852	B18948.1	F20I16	1
2316853	B18949.1	F23F10	1
2316854	B18950.1	F25P22	1
2316855	B18951.1	F6I1	1
